city,attractionSite,description,image
الرياض,جسر برج المملكة المعلق,إطلالة بانورامية تكشف جمال مدينة الرياض.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a162-skybridge-at-kingdom-center/image-3/The_Sky_Bridge_Hero_Banner.jpg
الرياض,روضة التنهات,أكبر روضة طبيعية بالسعودية، موقعها ومعالم جمالها والأنشطة الممكنة فيها.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a188-rawdat-tinhat/1920x1080/A188_Rawdat_Tinhat_1.jpg
الرياض,قصر المربع التاريخي,القصر الذي كان منزلاً لمؤسس المملكة العربية السعودية الملك عبدالعزيز آل سعود بكل تفاصيله.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/highlights/a128/Al-Murabba-Palace.jpg
الرياض,متحف صقر الجزيرة للطيران بالرياض,وجهتك حيث التراث وآليات الحرب القديمة والحديثة في مكان واحد.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/saqer-aljazirah-aviation-museum.jpg
الرياض,وادي نمار,أوقات رائعة من الاتصال بالطبيعة في منتزه وادي نمار الخلاب.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/wadi-namar.jpg
الرياض, حافة العالم,لا يمكن لتجربة الوقوف على حافة العالم أن تفوتك، كل ما تحتاج معرفته لتخطيط رحلتك التالية بالرياض.,https://www.visitsaudi.com/content/dam/press-release/STA_Edge-of-the-World.jpeg
الرياض, المتحف الوطني السعودي,حيث الإثراء والمعرفة والآثار القديمة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/the-national-museum-of-saudi-arabia-desktop.jpg
الرياض,برج الفيصلية,لا تفوت فرصة زيارة أول ناطحة سحاب في السعودية، تعرف على برج الفيصلية البراق بالرياض.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/burj-alfaisalia-in-riyadh.jpg
الرياض,كهف هيت,أنت على موعد مع واحد من أجمل المعالم الطبيعية في المملكة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/heet-cave-in-riyadh-article.jpg
الرياض,حديقة الواحة,استراحة في واحة طبيعية وارفة، لأوقات جميلة مع العائلة أو الأصدقاء.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/alwaha-park-in-riyadh-banner.jpg
الرياض,صالة تجريد للفنون, ملتقى هواة الفن ومحترفيه، وجهة للمتعة البصرية. ,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/abstract-art-gallery.JPG
الرياض,استكشف منتزه روضة الخرارة,حيث طبيعة وأجواء بديعة تعدك برحلة استجمام لطيفة.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/discover-alkharrarah-national-park.jpg
الرياض,قصر المصمك,اكتشف أمجاد التاريخ السعودي بين أروقة قصر المصمك العريق,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/almasmak-fortress.jpg
الرياض,موسم الرياض,يوجد أكثر من ٨٥٠٠ فعالية فنية وموسيقية ومسرحية ورياضية وفعاليات مأكولات عالمية في موسم الرياض .,https://www.visitsaudi.com/content/dam/riyadh-season/Riyadh-Season-Hero-banner.jpg
الرياض,بوليفارد رياض سيتي,أكبر منطقة ترفيهية في العاصمة الرياض.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/boulevard-riyadh.jpg
الرياض,نادي العرين للفروسية,نادي العرين للفروسية المتكامل لهواة ركوب الخيل.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/al-areen-equestrian.jpg
الدرعية,قصور تاريخية لا تفوت زيارتها في الدرعية,رحلة عبر الزمن لمشاهدة تاريخ السعودية العريق، في قلب أبرز القصور التاريخية بالدرعية.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/must-visit-historical-palaces-in-diriyah.JPG
الدرعية,سارية الدرعية,تعرف على أطول سارية في الرياض.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/diriyah-flagpole.jpg
